# captured=2026-09-19 startFrom=2025-09-19 minValue=5000000
231810 | 1330WUC013 | Echuca High Street Water Tower Deconstruction | 15 June 2026 | 5140000.00 | Coliban Region Water Corporation | Construction Contracts | Public Utilities and Public Sector Related Services | |
232846 | CONS-1867 | Western Freeway Realignment at Pykes Creek | 11 June 2026 | 11418805.00 | Major Road Projects Victoria | Construction Contracts | Highway and road new construction service | Chief Solutions Pty Ltd | 84132715818
232508 | PR561-24 | Rochester Emergency Services Hub - Head Contractor | 5 June 2026 | 9395811.70 | Department of Justice and Community Safety | Construction Contracts | Building and Facility Construction and Maintenance Services | Barpa | 63600276015
231807 | DOT43168 | Pavement Rehabilitation and Safety Improvements | 3 June 2026 | 6036218.10 | Department of Transport and Planning (DTP) | Purchases of Goods/Services | Highway and road resurfacing service | RECivil Pty Ltd | 93102480599
231382 | C0025 | Cleaning Services | 1 June 2026 | 15932076.00 | Box Hill Institute | Purchases of Goods/Services | Cleaning and janitorial services | Blue Sky Services | 65151650298
232394 | CONTRACTSJUNE2026 | DFFH CAPITAL CONTRACT 1 JUNE TO 31 JUNE 2026 | 1 June 2026 | 91019474.17 | Department of Families, Fairness and Housing - Homes Victoria & Director of Housing | Construction Contracts | Building and Facility Construction and Maintenance Services | Department of Families, Fairness and Housing | 88139482080
232708 | DOT40905 | Junction Construction | 21 May 2026 | 5124631.51 | Department of Transport and Planning (DTP) | Construction Contracts | Highway and road construction services | Bild Infrastructure | 78099996344
232185 | GWW12279 | NextGen Engineering Services Partnter | 19 May 2026 | 100000000.00 | Greater Western Water | Construction Contracts | Public Utilities and Public Sector Related Services | Several suppliers |
232504 | 420952 | Maintenance Services Partners | 19 May 2026 | 450000000.00 | Yarra Valley Water | Purchases of Goods/Services | Water and sewer utilities | |
232505 | 420951 | Maintenance Services Partners | 19 May 2026 | 500000000.00 | Yarra Valley Water | Purchases of Goods/Services | Water and sewer utilities | |
232035 | PIMS-17802 | Civil works | 18 May 2026 | 7281385.21 | Development Victoria | Construction Contracts | Civil engineering | DRAPER'S CIVIL CONTRACTING PTY. LTD. | 64006741288
232037 | PIMS-17401 | Managing Contractor | 18 May 2026 | 157015356.30 | Development Victoria | Construction Contracts | Nonresidential building construction services | |
229887 | 5830 | Audio Visual and Video Conferencing Services | 16 May 2026 | 9720002.00 | Victoria Police | Purchases of Goods/Services | Police services | |
232135 | GWW12277 | NextGen Planning Partner Services | 15 May 2026 | 30000000.00 | Greater Western Water | Construction Contracts | Public Utilities and Public Sector Related Services | |
